Name,Identifier,Weight,Sector,Shares Held
Nordstrom Inc.,JWN,0.031473,Consumer Discretionary,1302791
Ralph Lauren Corporation Class A,RL,0.031269,Consumer Discretionary,626592
Newell Brands Inc,NWL,0.031187,Consumer Discretionary,4841057
Whirlpool Corporation,WHR,0.031077,Consumer Discretionary,710557
L Brands Inc.,LB,0.030576,Consumer Discretionary,2543724
Fortune Brands Home & Security Inc.,FBHS,0.030431,Industrials,1656362
DISH Network Corporation Class A,DISH,0.030163,Communication Services,2538358
Helmerich & Payne Inc.,HP,0.029768,Energy,1207290
Apartment Investment and Management Company Class A,AIV,0.029658,Real Estate,1744485
Kimco Realty Corporation,KIM,0.029334,Real Estate,4711366
Affiliated Managers Group Inc.,AMG,0.028995,Financials,623523
A. O. Smith Corporation,AOS,0.028496,Industrials,1605650
Harley-Davidson Inc.,HOG,0.028378,Consumer Discretionary,1936255
Pentair plc,PNR,0.027893,Industrials,1828225
Nektar Therapeutics,NKTR,0.027788,Health Care,1923828
Hanesbrands Inc.,HBI,0.027181,Consumer Discretionary,4104042
PulteGroup Inc.,PHM,0.02715,Consumer Discretionary,2984255
Xerox Corporation,XRX,0.026971,Information Technology,2475138
Fluor Corporation,FLR,0.026699,Industrials,1558544
Jefferies Financial Group Inc.,JEF,0.02652,Financials,3365491
Flowserve Corporation,FLS,0.025956,Industrials,1450605
Gap Inc.,GPS,0.025497,Consumer Discretionary,2438263
Foot Locker Inc.,FL,0.024603,Consumer Discretionary,1368113
Rollins Inc.,ROL,0.024457,Industrials,1097294
Macerich Company,MAC,0.024125,Real Estate,1193708
People's United Financial Inc.,PBCT,0.023355,Financials,3850644
H&R Block Inc.,HRB,0.023106,Consumer Discretionary,2271105
Assurant Inc.,AIZ,0.023086,Financials,610712
SCANA Corporation,SCG,0.022659,Utilities,1543558
Sealed Air Corporation,SEE,0.022535,Materials,1849376
Goodyear Tire & Rubber Company,GT,0.022359,Consumer Discretionary,2767114
Leggett & Platt Incorporated,LEG,0.022174,Consumer Discretionary,1465432
IPG Photonics Corporation,IPGP,0.022049,Information Technology,421057
TripAdvisor Inc.,TRIP,0.021833,Communication Services,1140087
News Corporation Class A,NWSA,0.021469,Communication Services,4249804
Discovery Inc. Class A,DISCA,0.021027,Communication Services,1730075
Coty Inc. Class A,COTY,0.021026,Consumer Staples,5161704
Brighthouse Financial Inc.,BHF,0.020913,Financials,1327639
Mattel Inc.,MAT,0.020735,Consumer Discretionary,3813877
Quanta Services Inc.,PWR,0.019985,Industrials,1638508
U.S. Dollar,CASH_USD,0.018803,Unassigned,47866692
Stericycle Inc.,SRCL,0.018452,Industrials,948550
Newfield Exploration Company,NFX,0.017972,Energy,2214478
Under Armour Inc. Class A,UAA,0.014991,Consumer Discretionary,2061668
Under Armour Inc. Class C,UA,0.013964,Consumer Discretionary,2087450
News Corporation Class B,NWS,0.006514,Consumer Discretionary,1272714
