Name,Identifier,Weight,Sector,Shares Held
Boston Scientific Corporation,BSX,0.220397,Health Care,15418104
BlackRock Inc.,BLK,0.21045,Financials,1366832
Dominion Energy Inc,D,0.208238,Utilities,7288742
General Dynamics Corporation,GD,0.208088,Industrials,3105102
Twenty-First Century Fox Inc. Class A,FOXA,0.20775,Communication Services,11685121
Marathon Petroleum Corporation,MPC,0.207346,Energy,7544892
Praxair Inc.,PX,0.206481,Materials,3185690
Northrop Grumman Corporation,NOC,0.205023,Industrials,1933210
Norfolk Southern Corporation,NSC,0.202438,Industrials,3137763
Southern Company,SO,0.201064,Utilities,11306567
S&P Global Inc.,SPGI,0.194948,Financials,2801146
Target Corporation,TGT,0.194719,Consumer Discretionary,5913120
Crown Castle International Corp,CCI,0.193934,Real Estate,4598943
Deere & Company,DE,0.193199,Industrials,3595758
Humana Inc.,HUM,0.192837,Health Care,1526541
Zoetis Inc. Class A,ZTS,0.191678,Health Care,5393539
Illumina Inc.,ILMN,0.190853,Health Care,1629620
Intercontinental Exchange Inc.,ICE,0.186117,Financials,6392294
Bank of New York Mellon Corporation,BK,0.185777,Financials,10247708
Micron Technology Inc.,MU,0.185761,Information Technology,12857277
Vertex Pharmaceuticals Incorporated,VRTX,0.185353,Health Care,2849177
Capital One Financial Corporation,COF,0.184911,Financials,5332832
Exelon Corporation,EXC,0.184349,Utilities,10702326
Phillips 66,PSX,0.184263,Energy,4762710
Emerson Electric Co.,EMR,0.184154,Industrials,6986597
General Motors Company,GM,0.183938,Consumer Discretionary,14632854
Cognizant Technology Solutions Corporation Class A,CTSH,0.182435,Information Technology,6497267
Marsh & McLennan Companies Inc.,MMC,0.181548,Financials,5655502
Prologis Inc.,PLD,0.180509,Real Estate,6974070
MetLife Inc.,MET,0.177589,Financials,11088718
Progressive Corporation,PGR,0.174909,Financials,6456873
Prudential Financial Inc.,PRU,0.168969,Financials,4657259
Ecolab Inc.,ECL,0.167092,Materials,2833890
Illinois Tool Works Inc.,ITW,0.165782,Industrials,3440104
American International Group Inc.,AIG,0.165715,Financials,9954223
HP Inc.,HPQ,0.164809,Information Technology,17635772
Valero Energy Corporation,VLO,0.16407,Energy,4779973
BB&T Corporation,BBT,0.160638,Financials,8698904
Kimberly-Clark Corporation,KMB,0.160478,Consumer Staples,3906750
Aon plc,AON,0.159746,Financials,2711465
Ross Stores Inc.,ROST,0.158992,Consumer Discretionary,4198614
American Electric Power Company Inc.,AEP,0.157727,Utilities,5459957
Constellation Brands Inc. Class A,STZ,0.15598,Consumer Staples,1862907
Ford Motor Company,F,0.153235,Consumer Discretionary,43391704
Kraft Heinz Company,KHC,0.152501,Consumer Staples,6935031
Sysco Corporation,SYY,0.15017,Consumer Staples,5331035
HCA Healthcare Inc,HCA,0.150154,Health Care,3008388
Fidelity National Information Services Inc.,FIS,0.148665,Information Technology,3677194
Waste Management Inc.,WM,0.147945,Industrials,4439213
Delta Air Lines Inc.,DAL,0.147939,Industrials,7011891
Baxter International Inc.,BAX,0.146672,Health Care,5503865
Air Products and Chemicals Inc.,APD,0.144584,Materials,2429812
Travelers Companies Inc.,TRV,0.143646,Financials,3016153
Equinix Inc.,EQIX,0.142558,Real Estate,880915
Aflac Incorporated,AFL,0.142273,Financials,8584618
Allstate Corporation,ALL,0.142174,Financials,3898041
Fiserv Inc.,FISV,0.14071,Information Technology,4540558
Marriott International Inc. Class A,MAR,0.140643,Consumer Discretionary,3209926
Applied Materials Inc.,AMAT,0.140478,Information Technology,10956356
Sempra Energy,SRE,0.137805,Utilities,3049460
Eaton Corp. Plc,ETN,0.137665,Industrials,4853942
Kinder Morgan Inc Class P,KMI,0.136906,Energy,21020652
Halliburton Company,HAL,0.133873,Energy,9809999
Anadarko Petroleum Corporation,APC,0.133794,Energy,5711867
Williams Companies Inc.,WMB,0.132544,Energy,13485867
Sherwin-Williams Company,SHW,0.131899,Materials,912430
Electronic Arts Inc.,EA,0.131822,Communication Services,3402052
